Domain,Domain authority,SM_Ranking,Organic Trafic,Organic Keyword number,Paid Trafic,Paid keywords,Backlinks,Referring Domains,Pages/Visits,Average visit duration,Bounce rate
muve.pl,75,541000,791000000,161000000,7941000,981,31000000,3431000,802,843,0.2747
oleole.pl,76,391000,781000000,93671000,7181000,241000,6191000000,10531000,215,419,0.5898
refurbed.pl,79,351000,761000000,161000000,7391000,111000,9951000000,20511000,256,817,0.6532
forumpc.pl,65,51,751000000,43951000,161000000,1881000,28961000,371000,606,626,0.3721
amd.com,66,54,731000000,43481000,161000000,1781000,28891000,371000,606,626,0.3721
eurogamer.pl,69,58,691000000,52471000,111000000,1711000,1011000000,1051000,287,821,0.5993
veedyou.com,72,551000,681000000,95781000,53,9,451000000,3011000,321,618,0.4196
imagazine.pl,69,60,681000000,5271000,11000000,1711000,1011000000,1061000,287,821,0.5993
steampowered.com,75,181000,661000000,5731000,2521000,604,281000000,8591000,23,299,0.5647
tp-link.com,75,121000,651000000,11000000,1191000,910,21131000000,531000,474,324,0.3541
konsolowe.info,76,171000,631000000,69081000,471000,71,2511000000,5571000,26,348,0.5303
youtube.com,64,68,611000000,46411000,3041000,711000,511000000,951000,198,835,0.6699
idream.pl,64,69,611000000,46611000,30311000,741000,521000000,951000,198,835,0.6699
mp3store.pl,77,161000,581000000,281000000,1061000,21000,2821000000,17691000,149,506,0.7848
netland24.pl,72,231000,571000000,71131000,12041000,181000,4431000000,6131000,249,383,0.5207
buy-it.pl,69,421000,561000000,31521000,22281000,781000,141000000,2541000,294,465,0.4997
ale.pl,67,75,541000000,63871000,6611000,111000,211000000,1261000,218,788,0.6212
ebay.com,67,77,541000000,64021000,6541000,111000,211000000,1271000,218,788,0.6212
strefa-zakupowa.pl,74,79,521000000,21000000,2121000,1,21000000,691000,326,498,0.5494
fotoblogia.pl,75,80,521000000,21000000,2121000,2,21000000,691000,326,498,0.5494
mytrendyphone.pl,74,774,491000000,44441000,22751000,531000,251000000,211000,321,419,0.4784
komputronik.pl,72,361000,481000000,77181000,15391000,221000,5861000000,8051000,314,422,0.522
batna24.com,74,87,471000000,18921000,40451000,311000,441000000,841000,476,447,0.362
magboss.pl,74,89,471000000,32421000,2101000,161000,2091000000,651000,213,568,0.6502
fotoplus.pl,73,91,461000000,34071000,1441000,141000,121000000,691000,329,608,0.464
gigabyte.com,67,87,461000000,36571000,15091000,191000,151000000,611000,455,496,0.4402
komputerymarkowe.pl,64,93,461000000,36831000,15221000,191000,161000000,621000,455,496,0.4402
acer.com,63,94,451000000,3901000,13221000,111000,9541000,331000,221,495,0.5288
orange.pl,73,89,451000000,33761000,13941000,121000,121000000,691000,329,608,0.464
al.to,70,93,451000000,181000000,22081000,1551000,3151000000,681000,445,578,0.459
notebookcheck.net,70,95,451000000,181000000,22841000,161000,3181000000,681000,445,578,0.459
supertech.pl,69,391000,451000000,251000000,6641000,581000,8751000000,5511000,151,468,0.7553
fajnykomputer.pl,93,385,451000000,51000000,47571000,211000,12861000000,17281000,249,397,0.5315
nvidia.com,72,371000,441000000,61131000,14221000,201,121000000,1421000,248,742,0.5676
hl2-beta.ru,67,571000,441000000,24151000,12091000,211000,171000000,2281000,404,405,0.395
lowcygier.pl,73,96,441000000,99421000,1821000,303,1131000000,1691000,359,610,0.5174
computer-alliance.pl,74,99,441000000,99771000,1831000,317,1131000000,1711000,359,610,0.5174
neo24.pl,75,111000,441000000,361000000,22971000,1891000,5151000000,12841000,252,593,0.572
nintendo.pl,66,151000,431000000,47231000,12531000,817,9721000000,521000,3267,2838,0.2838
botland.com.pl,60,100,421000000,50891000,64151000,1011000,41000000,1061000,798,1116,0.649
moyens.net,60,106,421000000,51221000,67221000,111000,41000000,1081000,798,1116,0.649
audio.com.pl,63,116,381000000,11000000,1441000,141000,31000000,1271000,317,430,0.6641
zadowolenie.pl,62,120,371000000,43711000,28441000,851000,291000000,711000,234,479,0.5252
hurt.com.pl,71,121,371000000,35721000,2011000,245,431000000,451000,459,822,0.4164
benchmark.pl,62,118,361000000,221000000,1741000,405,21000000,441000,308,612,0.5527
x-mobile.pl,62,115,361000000,43531000,27561000,781000,291000000,711000,234,479,0.5252
knowyourmobile.com,71,122,361000000,80741000,337,4,7621000000,1821000,398,825,0.4062
itnes.pl,74,2591000,351000000,281000000,10851000,111000,4971000000,10941000,503,624,0.4429
pomoc.home.pl,72,331000,351000000,331000000,5711000,381000,19791000000,221000,408,605,0.5522
cdaction.pl,72,331000,351000000,331000000,571000,381000,19841000000,2211000,408,605,0.5522
microsoft.com,90,822,341000000,441000000,21000000,5161000,15261000000,35561000,259,454,0.5303
interia.pl,62,133,331000000,221000000,1811000,466,211000000,451000,308,612,0.5527
apple.com,89,358,331000000,291000000,7461000,213,2311000000,17041000,285,469,0.4493
ontarioparks.com,69,431000,331000000,191000000,1021000,918,3871000000,16831000,652,1007,0.356
drivers.plus,89,372,331000000,291000000,7481000,227,23141000000,17061000,285,469,0.4493
mobimaniak.pl,49,150,311000000,1471000,1621000,148,16361000,281000,962,1933,0.3552
bitcomputer.pl,65,148,311000000,37051000,52291000,611000,191000000,941000,324,383,0.4662
krsystem.pl,65,151,311000000,37111000,54071000,621000,191000000,951000,324,383,0.4662
rms.pl,70,171000,291000000,21591000,111,2,1611000000,171000,154,,0.7278
rtvmaniak.pl,70,154,291000000,24971000,19261000,31000,4711000000,1591000,352,489,0.4222
plus.pl,70,157,291000000,25011000,18251000,31000,4721000000,161000,352,489,0.4222
sferis.pl,63,159,281000000,24571000,291000000,3291000,1321000000,951000,629,511,0.3914
trucoteca.com,62,11000,271000000,17451000,14341000,191000,1441000000,171000,286,262,0.5717
sklepwideo.pl,70,184,261000000,62831000,927,15,321000000,2051000,287,920,0.6429
alsen.pl,60,179,261000000,47231000,31231000,61000,411000000,1021000,248,511,0.6398
bhphotovideo.com,61,181,261000000,47421000,33531000,651000,411000000,1031000,248,511,0.6398
computerworld.pl,69,611000,261000000,56641000,5061000,321000,731000000,581000,284,670,0.4889
centrumdruku.com.pl,58,178,261000000,66991000,2131000,11000,2411000000,1161000,161,596,0.7562
technical.city,60,185,251000000,47121000,30361000,571000,411000000,1021000,248,511,0.6398
swiatbaterii.pl,65,182,251000000,58411000,11000,4,421000000,2111000,164,385,0.7392
voip24sklep.pl,58,186,251000000,4851000,1051000,977,791000000,441000,169,491,0.8206
gry-online.pl,65,9631000,241000000,39721000,11381000,131000,261000000,2931000,394,502,0.3676
komtek24.pl,67,231000,241000000,38251000,4461000,803,1251000000,5231000,226,311,0.5413
conrad.pl,59,199,231000000,22151000,5371000,439,131000000,691000,156,667,0.7983
swiat-laptopow.pl,65,203,231000000,58541000,11000,4,421000000,2131000,164,385,0.7392
dell.com,60,131000,231000000,83951000,13321000,839,711000000,261000,417,904,0.476
faceandlook.pl,69,531000,221000000,77721000,1,1,71000000,2511000,14,711,0.8221
komorkomania.pl,60,210,221000000,21911000,5311000,432,131000000,681000,156,667,0.7983
pawonik.pl,87,551000,221000000,781000000,0,0,3071000000,21381000,16,404,0.7571
gamingsociety.pl,72,4611000,221000000,731000000,461000,173,11521000000,44541000,135,741,0.8674
izigsm.pl,61,233,191000000,28541000,44051000,441000,111000000,751000,148,530,0.8139
panwybierak.pl,61,238,191000000,2601000,45911000,451000,111000000,761000,148,530,0.8139
kinguin.net,61,238,191000000,28631000,45931000,451000,111000000,751000,148,530,0.8139
skapiec.pl,83,953,191000000,241000000,16311000,271000,12271000000,14581000,335,523,0.4717
centrumxp.pl,83,933,191000000,241000000,1671000,281000,12311000000,14611000,335,523,0.4717
ispot.pl,59,250,181000000,11581000,11921000,651,71661000,561000,432,484,0.3882
gsm-club.pl,59,254,181000000,11561000,1211000,658,71731000,561000,432,484,0.3882
tomshardware.com,81,829,181000000,88421000,111000000,1281000,7141000000,6281000,34,431,0.4723
kuzniewski.pl,62,266,171000000,33381000,17451000,241000,171000000,291000,209,577,0.7385
magusz.com.pl,62,270,171000000,33621000,17031000,251000,181000000,291000,209,577,0.7385
gsmonline.pl,62,431000,171000000,58361000,521000,336,921000000,3831000,169,310,0.7439
fikiri.net,62,441000,171000000,58291000,531000,348,931000000,3851000,169,310,0.7439
cpubenchmark.net,58,313,151000000,37541000,925,10,39731000,461000,122,288,0.8659
intel.com,58,301,151000000,111000000,1511000,421,161000000,1161000,18,276,0.7257
beststore.pl,59,300,151000000,111000000,1541000,456,161000000,1181000,18,276,0.7257
najlepszy-ranking.pl,62,312,151000000,3731000,261000,141,271000000,561000,414,909,0.4968
webuy.com,57,302,151000000,18061000,11631000,181000,1281000000,521000,206,382,0.6293
fotopolis.pl,69,304,151000000,51771000,0,0,6791000000,2041000,255,511,0.5741
amazon.com,52,315,141000000,27471000,3591000,174,421000000,471000,332,367,0.4599
e-baseus.com,51,318,141000000,27591000,3961000,199,431000000,471000,332,367,0.4599
mobirank.pl,57,333,131000000,7921000,981000,100,4121000,141000,302,547,0.5281
comtrade.pl,58,330,131000000,10351000,4791000,351000,141000000,711000,315,441,0.4515
etuo.pl,58,331,131000000,10371000,47611000,351000,141000000,711000,315,441,0.4515
maxelektro.pl,65,340,131000000,36721000,51000,48,341000000,141000,192,321,0.7049
ceneo.pl,62,391,131000000,25581000,381000,171,351000000,261000,11,532,0.9119
fotoforma.pl,69,22811000,131000000,82021000,68491000,2411000,481000000,1611000,13,261,0.7959
boop.pl,65,367,121000000,1351000,1331000,111000,161000000,31000,331,584,0.6215
xbox.com,57,78451000,121000000,64661000,75,1,421000000,2371000,157,496,0.7847
pccharger.com,64,391000,121000000,4091000,2,2,2111000000,211000,262,1231,0.625
balta.pl,56,408,111000000,8371000,20471000,341000,18471000,461000,221,283,0.5197
e-katalog.pl,55,389,111000000,3951000,5671000,324,63791000,211000,392,507,0.5039
mi-store.pl,73,3771000,111000000,351000000,1781000,248,1851000000,6331000,533,1423,0.6711
philips.pl,56,440,99061000,9611000,8681000,251000,43341000,471000,417,641,0.4719
gamingdeputy.com,56,466,92421000,13771000,58551000,381000,4851000,271000,229,423,0.7434
gsmarena.com,65,479,90081000,56931000,4171000,773,1021000000,1131000,48,604,0.4279
electro.pl,62,478,89031000,2031000,19411000,211000,151000000,361000,367,437,0.4754
zapytaj.onet.pl,56,495,87041000,34041000,64,4,861000000,1341000,124,339,0.8556
tabletowo.pl,63,492,86171000,20151000,2441000,371,111000000,411000,368,636,0.5085
icecat.biz,51,241000,83541000,14361000,3491000,437,55711000,921000,2,508,0.6896
centrumpapieru.pl,55,544,78121000,34081000,147,4,861000000,1321000,124,339,0.8556
speckable.pl,46,629,66661000,77771000,1341000,71,1271000000,661000,152,589,0.7691
google.com,46,629,66561000,76781000,1331000,63,1271000000,651000,152,589,0.7691
proline.pl,60,2121000,65851000,11011000,1231000,337,51631000,1621000,174,304,0.653
wirtualnemedia.pl,53,655,64151000,7841000,751000,43,351000000,371000,367,372,0.4193
planetagracza.pl,53,647,63851000,27681000,16371000,41000,511000000,751000,192,129,0.581
gsm24.pl,53,657,63511000,28071000,18361000,541000,511000000,771000,192,129,0.581
flipkart.com,52,664,62811000,6791000,7811000,383,19131000,31000,496,464,0.244
okazje.info.pl,52,665,62391000,6751000,231000,56,17941000,411000,222,286,0.6243
blog.home.pl,40,719,56961000,9481000,14811000,151000,221000000,681000,347,384,0.5423
ea.com,50,761,53571000,4811000,4931000,123,89931000,441000,162,415,0.6926
fandom.com,46,789,50171000,5781000,12551000,231000,13181000,351000,223,305,0.5728
premiumtech.pl,55,371000,49551000,5021000,351000,147,311000000,121000,21,346,0.5748
funkymedia.pl,44,811,48661000,8811000,631000,131,3761000,421000,153,296,0.7707
msi.com,45,839,46931000,8771000,61000,124,37451000,421000,153,296,0.7707
eltrox.pl,51,842,46151000,4421000,4431000,625,8361000,161000,173,662,0.6529
drtusz.pl,53,191000,45721000,121000000,21000,209,651000000,1271000,273,345,0.4951
dailyweb.pl,45,866,44551000,11331000,141000,32,67311000,431000,314,482,0.5032
gigaserwer.pl,45,878,43591000,2641000,17821000,731,15041000,351000,392,154,0.2183
hard-pc.pl,45,885,42991000,2631000,18331000,744,15111000,351000,392,154,0.2183
cenowarka.pl,51,943,39561000,27781000,1761000,117,241000000,331000,469,442,0.3809
tech.wp.pl,47,963,38761000,2621000,6031000,982,82871000,221000,218,718,0.5986
mi.com,55,973,38611000,16711000,827,5,181000000,941000,135,164,0.7821
delkom.pl,51,11000,37241000,15351000,791000,161000,341000000,381000,242,597,0.6616
amso.pl,48,11000,36451000,5751000,1931000,264,41541000,491000,375,633,0.5289
tim.pl,52,11000,35841000,10891000,481000,65,291000000,691000,771,1135,0.2077
nowyelektronik.pl,48,11000,35741000,5751000,1951000,274,41621000,491000,375,633,0.5289
android.com.pl,50,27721000,34941000,8591000,35,7,18451000,871000,346,644,0.4525
perfectblue.pl,51,111000,34941000,15311000,7611000,191000,351000000,381000,242,597,0.6616
steamcommunity.com,44,111000,34761000,15741000,951,8,811000000,951000,193,439,0.7505
techlord.pl,50,121000,32551000,4821000,1651000,31000,2611000,191000,156,284,0.7636
download.net.pl,44,111000,32261000,15691000,951,8,811000000,951000,193,439,0.7505
komputerswiat.pl,53,3321000,31481000,21051000,1771000,781000,281000000,111000,362,829,0.4338
fotoaparaciki.pl,72,148,31000000,54761000,258,10,1661000000,2051000,135,595,0.8161
samsung.com,45,121000,30781000,1911000,1961000,354,8831000,231000,224,252,0.6027
lenovogaming.pl,44,121000,30771000,1911000,201000,366,8841000,231000,224,252,0.6027
4kom.pl,45,121000,29231000,2661000,6271000,448,4631000,271000,153,318,0.7837
kingston.com,45,131000,28611000,2661000,6011000,404,4611000,271000,153,318,0.7837
lenovo.com,52,131000,27191000,7771000,0,0,3491000000,111000,273,207,0.7747
gra.pl,43,141000,26161000,11481000,81000,74,55541000,571000,127,545,0.843
rnew.pl,44,141000,25261000,11161000,1361000,329,421000000,521000,404,611,0.4223
productz.com,42,141000,25241000,1151000,91000,82,55871000,581000,127,545,0.843
bestbuy.com,52,141000,25061000,7831000,0,0,351000000,111000,273,207,0.7747
123drukuj.pl,44,141000,24941000,11171000,1331000,337,421000000,531000,404,611,0.4223
avans.pl,51,15451000,24191000,1901000,251000,111000,26191000,1291000,299,246,0.3346
politykabezpieczenstwa.pl,46,151000,24121000,721000,3671000,129,261000000,331000,348,744,0.5186
tuszmarkt.pl,36,161000,22681000,15011000,60,3,71281000,71000,175,219,0.7403
eukasa.pl,47,161000,22441000,20921000,521000,112,45771000,631000,245,213,0.5862
ultima.pl,42,161000,21211000,15031000,60,3,70731000,691000,175,219,0.7403
euro.com.pl,44,161000,20981000,14751000,16161000,747,45451000,51000,179,426,0.6886
taniekomputery.pl,44,161000,20931000,14791000,17521000,896,45811000,511000,179,426,0.6886
erli.pl,47,171000,20061000,1651000,16411000,834,3361000,271000,384,245,0.4996
dobreprogramy.pl,51,12141000,20011000,24751000,6331000,220,5491000000,7711000,182,705,0.6665
pcforce.pl,38,181000,19161000,9081000,871000,856,35151000,451000,453,454,0.4328
cortland.pl,37,181000,18991000,9041000,711000,691,34741000,451000,453,454,0.4328
gadzetomania.pl,53,191000,18941000,3361000,612,15,86241000,741000,398,406,0.4066
gsmok.pl,44,181000,18861000,5441000,171000,143,1081000000,531000,347,465,0.5867
lg.com,42,191000,17921000,2711000,3731000,742,131000000,261000,346,817,0.5828
scrascom.pl,42,191000,17711000,2721000,3781000,781,131000000,261000,346,817,0.5828
epicgames.com,41,191000,17391000,3881000,441000,295,11541000,331000,281,583,0.618
eneba.com,41,21000,16461000,2861000,6031000,131000,10081000,391000,393,451,0.561
softonic.pl,44,221000,15491000,9731000,103,6,331000000,811000,676,937,0.3077
funtech.pl,44,18611000,14631000,2191000,46,24,18331000,681000,288,289,0.5008
t-mobile.pl,35,181000000,13861000,3551000,21,6,24621000,511000,729,559,0.3284
manuals.plus,44,241000,13621000,3311000,3591000,295,1871000,211000,178,736,0.697
pepper.pl,41,261000,12281000,8911000,761,17,33161000,291000,185,340,0.6126
mirapolnext.pl,38,261000,12051000,3031000,851000,80,11851000,411000,541,505,0.4306
maxsklep.pl,41,261000,12041000,8951000,761,18,3321000,31000,185,340,0.6126
gsmmaniak.pl,49,271000,11721000,6371000,0,0,241000000,61000,127,701,0.9031
proshop.pl,49,271000,11721000,6371000,0,0,241000000,61000,127,701,0.9031
lombard66.pl,39,271000,11621000,6741000,191000,42,14421000,541000,148,478,0.826
kimovil.com,43,271000,11521000,3731000,931000,247,16641000,41000,243,506,0.6515
dell24.pl,31,271000,11471000,2731000,31000,30,18881000,351000,483,1453,0.3841
tophifi.pl,43,281000,11171000,3731000,1011000,256,16691000,411000,243,506,0.6515
aliexpress.com,55,14811000,11000000,32761000,4571000,458,40631000,1091000,123,531,0.8701
xxlgamer.pl,45,31000,10161000,2171000,688,34,901000,21000,287,400,0.4695
dipol.com.pl,45,311000,9991000,551000,141000,63,2241000000,541000,456,1097,0.2388
chip.pl,41,21651000,9511000,6851000,0,0,7131000,651000,127,238,0.8288
itmarket.pl,44,341000,9081000,4021000,372,14,4481000,321000,242,744,0.6367
gsm-hurt.pl,35,371000,8061000,2881000,623,20,17881000,331000,242,353,0.6669
netia.pl,39,381000,7841000,6011000,9,1,281000000,1771000,222,578,0.693
gram.pl,46,10441000,7641000,3281000,141000,41,87681000,581000,333,183,0.4305
autelpoland.pl,35,391000,7511000,2861000,251000,49,87621000,431000,282,352,0.5752
mi-home.pl,35,41000,7331000,2861000,251000,48,87541000,431000,282,352,0.5752
komorkomat.pl,36,411000,7181000,481000,171000,40,13491000,471000,114,201,0.9212
etuistudio.pl,39,421000,6921000,6431000,3161000,720,451000000,211000,228,291,0.5781
allegrolokalnie.pl,39,431000,6851000,6421000,3031000,683,441000000,211000,228,291,0.5781
extreme-pc.pl,41,451000,6561000,3831000,485,2,99821000,491000,226,468,0.6505
pliki.wiki,41,471000,6221000,3831000,485,2,99051000,481000,226,468,0.6505
tonerpartner.pl,43,461000,6221000,3271000,451000,57,371000000,391000,192,136,0.6989
rtings.com,38,491000,5881000,1151000,231000,6,9791000,141000,2,323,0.5852
wykop.pl,41,491000,5851000,7561000,1031000,224,48551000,531000,197,1370,0.687
vobis.pl,41,51000,5771000,7541000,471000,215,48351000,521000,197,1370,0.687
loot.lk,39,541000,5261000,4681000,281000,82,291000000,831000,152,631,0.7987
servecom.pl,56,11000,3651000,3641000,1891000,80,851000000,1471000,143,342,0.7864
loombard.pl,49,371000,3501000,21631000,9,1,1341000000,841000,219,572,0.5671
pcworld.pl,40,2151000,3131000,841000,151,24,41331000,71000,17,761,0.7828
print24.com.pl,46,141000,2461000,5911000,1611000,517,5421000000,421000,264,621,0.7225
hanzo.com.pl,47,761000,2301000,9771000,331000,488,18581000000,14961000,172,634,0.7127
wikipedia.org,44,161000,2151000,1751000,391000,62,38991000,141000,13,1111,0.8064
huawei.com,34,111000000,1871000,1231000,111000,35,6011000000,31000,317,612,0.5757
apollo.pl,34,111000000,1871000,1231000,111000,35,6011000000,31000,317,612,0.5757
vedion.pl,47,191000,1771000,1651000,16251000,854,3371000,271000,384,245,0.4996
intel.pl,28,29811000,1771000,1431000,348,10,4961000,191000,2,637,0.5427
optyczne.pl,41,21000,1711000,3921000,251000,73,79581000,321000,341,228,0.5268
canon.pl,38,251000,1271000,3031000,861000,90,11891000,411000,541,505,0.4306
versus.com,13,33751000,1261000,1831000,137,11,711000,529,427,550,0.5039
xgsm.pl,44,291000,1091000,1111000,2221000,326,32051000,51000,2,461,0.7071
ebay.pl,31,19541000,951000,3241000,199,15,211000000,291000,184,401,0.6543
dodrukarki.pl,35,371000,811000,2871000,611,19,17831000,321000,242,353,0.6669
kakto.pl,49,381000,801000,1871000,291000,32,121000000,151000,173,728,0.6775
videotesty.pl,42,22481000,641000,1321000,411000,42,2971000,31000,381,347,0.5563
hdtvpolska.com,39,551000,521000,4671000,281000,82,291000000,831000,152,631,0.7987
hp.com,29,3991000,481000,1951000,104,4,6311000,361000,19,365,0.7263
